Index 0: 1 | 1. Background
Index 1: 1 | 1.1 Making  Of Ram
Index 2: 1 | 1.2 Structure  Of Ram
Index 3: 1 | 1.3 Features  Of Ram
Index 4: 1 | 1.4 New  Initiatives
Index 5: 1 | 2. Departmental  Regulations
Index 6: 1 | 2.1 Constitution Of The Railway Audit Branch
Index 7: 1 | 3. Organizational  Structure  Of Ministry  Of Railways
Index 8: 1 | 3.1 Composition Of Railway Board
Index 9: 1 | 3.2 List Of Indian Railway Zones, Their Headquarters And Divisions
Index 10: 1 | 3.3 All India Railway Map With Jurisdiction & Headquarters Only
Index 11: 1 | 3.4 Broad Distribution Of Work Among Board Members
Index 12: 1 | 4. General  Duties  Of The  Railway  Audit  Branch
Index 13: 1 | 4.1 Functions Of Cag
Index 14: 1 | 4.2 Functions Of Railway Audit Wing û
Index 15: 1 | 4.3 Duties Of Directors  General Of Audit/Principal Directors Of Audit
Index 16: 1 | 5. Types  Of Audit
Index 17: 1 | 5.1 Financial Audit
Index 18: 1 | 5.2 Compliance Audit
Index 19: 1 | 5.3 Performance Audit
Index 20: 1 | 6.1 Specific Reports - Related To More Important And Serious Irregularities Noticed.
Index 21: 1 | 6.2 Audit Notes
Index 22: 1 | 7. Disposal  Of Audit/Inspection  Reports
Index 23: 1 | 7.1 Special Letters And Notes Or Objections Or Factual Statement
Index 24: 1 | 1. Brief  On General  Administration  And  Vigilance  Department  Of Railway
Index 25: 2 | 2. Organisation  Hierarchy  Of General  Administration
Index 26: 2 | 3. Roles  And  Responsibilities  Of The  Department
Index 27: 2 | 3.1 General Administration:
Index 28: 2 | 3.2 Vigilance
Index 29: 2 | 4. List  Of Activities
Index 30: 2 | 5. Important  Risk  Parameters
Index 31: 2 | 6. It Applications  Used  In General  Administrat Ion  And  Vigilance  Department
Index 32: 2 | 7. Audit  Focus  Areas -Check  List
Index 33: 2 | 7.1 Arbitration Awards
Index 34: 2 | 7.2 Manpower Management
Index 35: 2 | 7.3 List Of Items To Be Seen During Inspection.
Index 36: 3 | 1. Brief  About  The  Accounts  Department
Index 37: 3 | 2. Organizational  Hierarchy  Of Accounts  Department  In Ir
Index 38: 3 | 2.1 At Ministry Level:
Index 39: 3 | 2.2 At Zonal Level:
Index 40: 3 | 3. Structure  Of Railway  Accounts
Index 41: 3 | 3.1 Basis Of  Accounting
Index 42: 3 | 3.2 Principle Of Allocation
Index 43: 3 | 3.3 The Fund Accounting
Index 44: 3 | 4. Roles  And  Responsibilities  Of The  Acco Unts  Department
Index 45: 3 | 5. Criteria  For  Identification  Of Apex,  Audit  And  Implementing  Units  At Ministry  Level   And  Field  Level
Index 46: 3 | 5.1 At Ministry Level
Index 47: 3 | 5.2 At Zonal Level
Index 48: 3 | 5.3 At Field Level
