Page   1 | 27(A) e-Office application and the procedures for implementation of
Page  19 | 1. The Tamil Nadu Government.— The executive power of the State is
Page  19 | 2. The Ministers.— The allocation of the business of the Government
Page  19 | 3. The Secretariat.— * The business of the Government is classified and
Page  19 | 4. The Chief Secretary—Special powers and responsibilities.—
Page  20 | 5. The Secretaries to Government.— Each Department of the
Page  20 | 6. Joint Secretary and Deputy Secretary.— The Joint Secretary and
Page  20 | 7. Under Secretary.— The Under Secretary exercises control over the
Page  20 | 8. Control of Office Matters.— Subject to the orders of the Secretary,
Page  21 | 9. Section Officer.— The Section Officer is in charge of a section of a
Page  21 | 10. Assistant Section Officer, Assistant, Personal Clerk and
Page  24 | *11. Central Despatch Branches.— (Deleted)
Page  24 | 12. Central Record Branch.— The Central Record Branch is the
Page  24 | 13. Secretariat Library.— The Library is under the immediate control of
Page  24 | 14. Law Department Library.— The Library is under the immediate
Page  24 | 15. Legislative Assembly Library.— The Library is primarily intended
Page  25 | 16. Secretariat Telephone Automatic Exchange and Circulation
Page  25 | 17. Conservancy and Watch and Ward Staff.— The Conservancy and
Page  32 | 28. Nature of tappal.— The tappal consists of (a) communications in
Page  32 | 29. Receipt of tappal.— Except for registered articles, all cards, closed
Page  32 | 30. Registered and insured articles.— Articles sent by post registered
Page  33 | 32. Tappals brought by messengers out of office hours.— Tappals
Page  33 | 33. Acknowledgement of U.O. files, Petitions and other Tappals.—
Page  35 | 34. Opening of tappal.— (a) The tappal box is opened by the Assistant
Page  36 | 35. Numbering of currents.— (a) After sorting out the tappals section-
Page  37 | 36.(a) Tappals received by officers direct.— Tappals addressed to an
Page  39 | 37. Submission of unofficial tappal from other Department.—
Page  39 | 38. Perusal of 'Tappal' by Under Secretary-Points to be noted.—
Page  40 | 39. Marking in 'tappal' circulation of advance copies of important
Page  40 | 40. Duty of Section Officer in regard to important communication
Page  40 | 41. Transfer of Papers intended for other departments.— Any
Page  40 | 42. Treatment of valuable enclosures.— Money, Cheques and other
Page  41 | 43. Treatment of adhesive stamps affixed to communications.—
Page  41 | 44. Submission of tappals to Officers concerned.— The tappals which
Page  41 | 45. Distribution of currents in section.— (a) As soon as the tappal is
Page  42 | 46. Transfer of mis-sent currents from one section to another.—
Page  42 | 47. Examination of currents relating to more than one subject.—
Page  42 | 48. Numbering of arising references and papers received by
Page  43 | 50. Tappal.— Letters and other communications marked 'Special' should,
Page  43 | 52. Tappal — Public Department.— All the Sensitive sections in Public
Page  44 | 53. Personal register.— The currents received in each section should be
Page  44 | 54. Currents to be entered in register immediately on receipt.— As
Page  44 | 55. All communications to be registered.— All communications,
Page  44 | 56. Number of entries on a page.— The number of entries on each
Page  44 | 57. Method of registry of papers.— Papers are registered in the order
Page  45 | 58. Titles to be brief and accurate (column 4 of register).— The title
Page  45 | 59. Entries in column 5 of register.— In making entries in column 5 of
Page  45 | 60. Entry in column 5 of current sent by one officer through one or
Page  45 | 61. Entry of dates of submission of cases to officers and return
Page  45 | 62. Numbering and entry of references or final disposals (columns
Page  45 | 9, 10 and 11).— When an intermediate reference or a final disposal is issued in
Page  45 | 63. Entry of nature of references—Abbreviations (column 9).— The
Page  45 | 64. Entry of reminders.— Reminders issued should be entered in red ink
Page  46 | 65. Entry of replies to references and currents to be added to old
Page  46 | 66. Closing of currents in Personal Register (Column 15).— If the
Page  46 | 67. Entry of 'Lodged ' disposals (Column 15).— 'Lodged' papers will
Page  46 | 68. Entry of disposal stitched with previous papers.— In cases
Page  46 | 69. Entry of disposal stitched with subsequent papers.— In case
Page  47 | 71. Instruction regarding registry of office papers.— The procedure
Page  47 | *71-A. Entries in Electronic Personal Register.— Where Electronic
Page  48 | 72. Forms of Correspondence.— Correspondence arising from the
Page  51 | 73. Contents of communications.— (i) Letters issuing from the
Page  55 | 76.
Page  59 | 2. Invitations to foreigners to visit India – No invitation should be
Page  59 | 3. Indian Delegations visiting Foreign countries – A Government
Page  60 | 4. Public bodies and private persons.— Indian Missions abroad are
Page  61 | 5. Indian Students and Missions abroad.— Indian students applying
Page  62 | 78. (a) Secretary.— The Secretary is the official head of his/her
Page  65 | 79. Points to be attended to immediately after currents are
Page  66 | 80. Preliminary points for action.— (1) Transfer of currents.— A
Page  66 | 81. Duty of Officers at all levels to take note of previous
Page  67 | 81.A. Oral instructions by higher officers.— (1) Where an officer is
Page  68 | 81.B. Oral Orders on behalf of or from Ministers.— (1) Whenever a
Page  68 | 81.C. Confirmation of oral Instructions.—
Page  68 | 82. Order of preference in dealing with papers.— Papers shall be
Page  68 | 83. Translation of papers.— Petitions or other communications in the
Page  69 | 84. Reference to outside officers to be made without delay before
Page  69 | 85. Papers concerning more than one section—Submission to
Page  69 | 86. Referencing—Collection of papers and books of reference.—
Page  70 | 87. Care of papers put up.— Particular care should be taken in handling
Page  70 | 88. Arrangement of cases.— After the required references have been
Page  70 | 89. Arrangement of put-up papers.— (i) The put up papers are placed
Page  71 | 90. Current File.— The current file consists at the outset, of 'official' (or
Page  72 | 90.A "A brown sheet should be used as a wrapper in all the pending files
Page  72 | 91. Note file.— The note file consists of the notes with unofficial
Page  72 | 92. Need to record year in addition to date and month in Notes,
Page  72 | 93. Flagging reference.— (a) Flags will be attached by paper fasteners
Page  73 | 94. Referencing the note file.— All references to authorities quoted
Page  73 | 95. Chaining of papers.— (a) Papers shall be 'chained' by the subject
Page  74 | 96. Linking of files.— (i) Mode of linking.— When it is necessary to refer
Page  74 | 97. Noting.— Papers, after being referenced, are, unless otherwise
Page  75 | 98. Object and contents of a note.— The aim of a full initial note
Page  75 | 99. Method of noting.— (i) No notes must be written on the current
Page  78 | 100. In what cases draft may be put up with or without notes.—
Page  78 | 101. Special kinds of notes.— (i) Notes for the Public Accounts
Page  79 | 102. Use of "Routine Notes".— Routine notes should be resorted to as
Page  79 | 103. Opening of a fresh file for a separate subject out of a current
Page  79 | 104. General instructions for preparation of draft.— When it is
Page  80 | 105. Form and arrangement (Abstract).— A docket abstract indicating
Page  80 | 106. Drafts to be complete and brief.— Order should be drafted so as
Page  81 | 109. Reading of previous correspondence at the head of an
Page  81 | 110. Method of Communication of General rulings and Orders on
Page  82 | 111. Marginal entries and tabular statement.— Marginal entries in a
Page  82 | 112. Submission of more than one draft in a case.— One case is
Page  82 | 113. References to Advocate-General.— Special care should be taken
Page  82 | 114. Communication of Advocate-General's opinion to an outside
Page  82 | 115. Un-Official reference to offices outside the Secretariat.—
Page  83 | *119. Post copy of telephonic message.— A post copy of every
Page  83 | 120. Inclusion of entry regarding "withheld memorials".— The
Page  83 | 121. Indication of nature of disposal at the head of drafts.— All
Page  83 | 122. Marking of nature of proceedings and of enclosures.— Section
Page  83 | 123. Despatch instructions to be checked before issue.— Despatch
Page  83 | 124. Amounts should be written in words.— In communications,
Page  83 | 125. Drafts from orders — Time allowed for submission.— When an
Page  84 | 126. Drafts not approved by officers or bearing their remarks.— An
Page  84 | 127. Superseded drafts.— Superseded drafts should be folded and kept
Page  84 | 128. Style in draft and note.— (1) Assistant Sections Officers and
Page  84 | 129. (i) Points to be attended to after disposal (final or
Page  86 | 130. Numbering of disposals.— No paper shall be numbered and
Page  87 | 131. Before deciding on the nature of the disposal which any paper
Page  87 | 132. Dating of Disposals.— Disposals are dated on the day on which
Page  87 | 133. Lodged papers will not be given a separate series of disposal
Page  87 | 134. "Disposal in Manuscript, 4 Decennium, 3 Decennium, 2
Page  88 | 135. Points to be observed after despatch.— The office copy and its
Page  89 | 136. Stock files.— Each section should maintain stock files on all
Page  90 | 137. The procedure to be followed in dealing with proposals for legislation
Page  90 | 138. Circulation of advance copy.— As soon as question which is
Page  90 | 139. References on questions.— References to Heads of Departments
Page  90 | 140. When information is required from Heads of departments to answer
Page  90 | 141. When an allegation or complaint which casts a reflection on the
Page  90 | 142. Draft answers and notes for supplementaries.— (a) Apart from
Page  91 | 143. Co-ordination of answers.— (i) The Legislative Assembly
Page  91 | 144. Time limit for despatch of answers.— Answers shall ordinarily be
Page  92 | 145. Twenty-eight copies of the answers to a Legislative Assembly
Page  92 | 146. When the draft answer has been approved by more than one
Page  92 | 147. Supply of published papers referred to in an answer.— When
Page  92 | 148. Submission to Ministers of files dealing with starred
Page  92 | 149. Further action on questions.— (a) In order to ensure timely
Page  93 | 150. Uncorrected proceedings of the Assembly.— The Legislative
Page  93 | 151. Statements by Minister to correct errors.— If major corrections
Page  93 | 152. Short notice questions.— Orders of the Minister concerned
Page  93 | 153. Prorogation of Assembly.— On the prorogation of a session, all
Page  94 | 154. Assurances, promises and undertakings given by Ministers in
Page  95 | 155. Papers laid on the Table.— When papers are laid in the Table, 350
Page  95 | 156. All rules framed in pursuance of delegation of legislative powers
Page  96 | 156-A. Statement explaining delay in laying the Annual Reports of
Page  96 | 157. General.— An advance copy of every resolution proposed to be
Page  96 | 158. Notes on resolutions.— Notes on resolutions shall as far as
Page  96 | 159. Submission to Ministers of files relating to resolutions and
Page  96 | 160. Further action on resolutions.— The department concerned is
Page  97 | 160-A. All Officers and Staff should show courtesy and consideration to
Page  98 | 161. Provisions of Business Rules and Secretariat Instructions to
Page  98 | 162. When inter departmental references are necessary, personal
Page  98 | 163.
Page  98 | 164. Sending of cases for perusal.— (1) No case should ordinarily be
Page 101 | 165. Communication of copies of notes to other departments.—
Page 101 | 166. Put-up-papers in unofficial files sent to Accountant General.—
Page 102 | 167. All papers are confidential to outsiders and public.— Every
Page 102 | 168. Classification of documents on security basis.— There are some
Page 102 | 169. Treatment of Secret and Top Secret papers in office.—
Page 103 | 170. Treatment of papers regarding appointments and postings.—
Page 103 | 171. Treatment of agenda for meetings of Council of Ministers and
Page 103 | 172. Treatment of punishment and appeal cases.— When the case of
Page 103 | 173. Treatment of papers relating to matters of ―News Value‖.—
Page 103 | 174. Treatment of confidential, Secret and Top Secret papers in
Page 106 | 175.
Page 107 | 176. Spare copies of printed confidential orders.— The distribution of
Page 107 | 177. Number of copies for record.— Only six copies without notes and
Page 107 | 178. The distribution of copies of each printed order or letter shall be
Page 107 | 179. Maintenance of confidential records in departments rules.—
Page 110 | 180. Disposal of spare copies.— Spare copies of papers of all kinds
Page 110 | 181. Confidential publications.— The maintenance and destruction of
Page 110 | 182. Custody of seals.— The safe custody of seals is of great security
Page 111 | 183. Disposal of waste papers.— Greatest care must be taken both in
Page 112 | 184. Points to be observed by Officers ordering circulation.— The
Page 112 | 185. Cases marked for circulation to go to Section Officer first.— A
Page 112 | 186. Section to check case and reference note and draft before
Page 113 | 187. Omissions to mark circulation or to mark 'Special' to be
Page 113 | 188. Cases to be marked 'Special' only on orders of officer
Page 113 | 189.
Page 113 | 190. Confidential files to be sent protected to Assistant in-charge
Page 113 | 191. Entry of cases in circulation register.— The Assistant in-charge
Page 114 | 192.
Page 114 | 193. Circulation cards.— (i) Circulation cards are used with boxes sent
Page 115 | 194. Circulation of more than one case in a box.— There is no
Page 115 | 195. Circulation of monthly index.— Monthly index of Government
Page 115 | 196. Circulation of cases to the Governor.— Cases intended for the
Page 115 | 197. Circulation of cases to Minister.— Duties of Senior Personal
Page 116 | 198. Duties of Senior Personal Assistants and Junior Personal
Page 116 | 199.
Page 116 | 200.
Page 117 | 201. Checking of circulation van register.— The receiving Assistant in
Page 117 | 202. Circulation otherwise than by van.— When a box or cover is
Page 117 | 203. Special cases not to be sent by van.— Cases marked 'Special'
Page 117 | 204. Papers marked for circulation to be circulated the same
Page 117 | 205. Checking of delays in circulation.— The Assistant in-charge of
Page 118 | 206. Treatment of cases returned from circulation.— After the date
Page 118 | 207. Cases returned to section direct from circulation—Assistant
Page 118 | 208. Interruption of circulation to supply information called for by
Page 119 | 209. When, in a case marked for circulation to more than one Minister or
Page 119 | 210.
Page 119 | 211. Circulation to the Governor on tour.— Files should be sent to the
Page 119 | 212. Circulation to Ministers on tour.— Circulation of papers to
Page 119 | 213. Tour circulation.— (i) Non-confidential papers.— The tour
Page 120 | 214. Maintenance of tour circulation register.— The *O.P./Tappal
Page 120 | 215. Distribution of files returned from 'tour circulation' to
Page 122 | 216. Circulation of notice and agenda for meetings of Council of
Page 122 | 217. Circulation of memorandum for the Cabinet-Duties of
Page 122 | 218. Supply of spare copies.— Departments of Secretariat are required
Page 123 | 219. Keys of circulation boxes.— (1) Confidential boxes of each
Page 124 | 220. Object of index two fold.— The object of the Indexes is twofold.
Page 124 | 221. Title and head defined.— The entry in the Index relating to an
Page 124 | 222. Head must be obvious and distinctive.— The first thing to do
Page 124 | 223. Consistency essential—Standard heads and sub-heads—
Page 124 | 224. Use of heads and sub-heads.— In the list some of the heads have
Page 124 | 225. Under important and wide heads large number of sub-heads will be
Page 124 | 226. Smaller heads may be used alone.— Under the large heads there
Page 125 | 227. Local classification.— Local classification should be introduced
Page 125 | 228. Personal papers.— (i) Personal papers relating to officials, except
Page 125 | 229. Papers relating to Village Administrative Officers.— Papers
Page 125 | 230. Papers relating to suits.— Papers relating to suits will be indexed
Page 125 | 231. Bracketed heads.— Heads printed in brackets in the list in
Page 126 | 232. Arrangement of several sub-heads.— The same title may contain
Page 126 | 233. Title proper.— After the heads and sub-heads comes the title
Page 126 | 234. Wording and articulation.— The title must consist mainly of
Page 126 | 235. Two or more titles when necessary—Cross-reference.— If an
Page 126 | 236. Indexing of orders of other departments.— When an order of
Page 126 | 237. Consolidation of titles when printing.— The same words must
Page 127 | 238. Indexing of questions and resolutions in the Legislative
Page 128 | 239. When a case relating to a question or resolution in the Legislative
Page 128 | 240. Indexing of budget motions.— When the papers relating to a
Page 128 | 241. Indexing of letter, demi-official, etc., disposals.— When a
Page 128 | 242. Examples of titles.— Some examples of titles prepared in
Page 128 | 243. Duty of Section Officers regarding index titles.— It is the
Page 128 | 244. System of Indexing — Slip index.— The system of indexing which
Page 129 | 245. Separate index for each department.— A separate index is
Page 129 | 246. An index consists of six parts. Proceedings and letters in the
Page 129 | 247. Distinct series of numbers are given to each of the following
Page 129 | 248. (i) The abstracts of the proceedings, letters, etc., which are to be
Page 130 | 249. (i) The indexer collects these abstracts on the evening of the last
Page 130 | 250. The Section Officers of the sections concerned will be held
Page 130 | 251. (i) As soon as copies of the monthly indexes are received from the
Page 131 | 252. The Annual Index is prepared by utilizing the slips used for the
Page 131 | 253. On receipt of proof, the indexer checks it with the monthly indexes
Page 131 | 254. A distribution list of the Annual indexes will be maintained by the
Page 131 | 255. Progress reports on compilation of indexes.— The indexer will
Page 131 | 256. It is absolutely essential that the preparation of the indexes should
Page 131 | 256-A.
Page 132 | 257. Printing work done at Government Central Press.— The
Page 132 | 258. When printing to be preferred to roneographing / copying.—
Page 132 | 259. What papers may be printed.— Great care shall be exercised in
Page 132 | 260. Government Orders of important nature should be printed by the
Page 133 | 261. Printing to be authorized by an officer of the rank of Under
Page 133 | 262. Confidential printing.— Confidential printing costs twice as much
Page 133 | 263. Urgent printing.— Urgent printing costs considerably more than
Page 133 | 264.
Page 133 | 265. Government Press to be warned in advance of urgent work.—
Page 133 | 266. Papers for printing not to be sent in batches.— The practice of
Page 134 | 267. Spelling to be uniform.— Uniformity in spelling is desirable in all
Page 134 | 268. Tabular form to be avoided where possible.— Tabular matter is
Page 134 | 269. Printing in half-margin not ordinarily to be resorted to.—
Page 134 | 270. Reprint in full of other departments proceedings, etc., to be
Page 134 | 271. Double printing of identical matter to be avoided.— When a
Page 134 | 272. Double printing of tabular statement, rules etc., prohibited.—
Page 135 | 273. Use of colour inks for superscriptions etc. restricted.— A word
Page 135 | 274. Use of 'Press slip'.— Every paper should be accompanied by a
Page 135 | 275. Printing of correspondence in proceedings.— "Record set"
Page 135 | 276. Number of copies of proceedings to be printed for issue,
Page 136 | 277. Printing of a case in instalments.— When a case is of such
Page 136 | 278. Editing matter for the Press.— Defective arrangement of matter
Page 136 | 279. Editing of correspondence to be printed in Government
Page 136 | 280. Section Officers held responsible for careful editing.— Section
Page 136 | 281. What papers may be sent to Press.— Orders of Government
Page 137 | 282. Proofs.— In what cases Press should be asked to send.—
Page 137 | 283. Proof correction.— Excessive author's corrections in proofs should
Page 137 | 284. Return of proof.— Proofs for correction should be returned
Page 137 | 285. Method of printing of proceedings of Government letters and
Page 138 | 286. Transmission of papers to the Press.— All papers for printing at
Page 138 | 287. Points to be observed by the subject Assistant Section
Page 138 | 288. Despatch of orders on printed reports.— In the case of an order
Page 138 | 289. Gazette Notifications.— All Notifications for publication in the
Page 139 | 290. Latest time for the receipt of copy and proofs for the Press.—
Page 139 | 291. Holding over of exceptionally long Notifications.— Notifications
Page 139 | 292. Gazette Extraordinary.— Gazette Extraordinary cannot be issued
Page 139 | 293. Binding.— Section Officers of sections shall carefully and strictly
Page 139 | 294. Forms, covers, etc.— The Press should not be asked to print
Page 139 | 295. Check on arrears.— For check on arrears and delays in printing
Page 140 | 296. Duty of Deputy Secretary and Under Secretary.— It is the duty
Page 140 | 297. In cases where there has been no response from the Head of
Page 140 | 298. Duty of Section Officer.— The Section Officer is responsible for
Page 140 | 299. Duty of Assistant Section Officer.— Section Assistant Section
Page 140 | 300.
Page 141 | 301. Procedure in checking delays and arrears.— The arrears may be
Page 141 | 302. External arrears.— These are checked by means of the "Call Book"
Page 144 | 303. Delay in Printing.— Whenever a paper has been with the Press for
Page 144 | 304. Internal arrears.— The arrears in section are checked by means of
Page 145 | 305. Personal Register (Manual / EFPS).— (a)(i) The Secretary,
Page 146 | 306. (i) Five days rule.— Papers will normally be submitted by the
Page 147 | 307. Daily Detention List.— (a)(i) Under the Five days rule, the D. List
Page 148 | 308. Cases seeking 'lie over' orders for short periods, should be
Page 148 | 309. Half Yearly Business Statement.— In order to keep the
Page 148 | 310. Special list showing pendency.— Any special list or statement
Page 149 | 311. A Special Register showing the remarks of the Inspecting Officers
Page 150 | 311 A. Special Register of Suits.— Original Applications, Review
Page 150 | 312. Delay with officers and in Circulation.— The Section Officer
Page 150 | 313. Delay in issue.— All papers marked for issue are ordinarily
Page 151 | 314. Delay in proof correction.— To afford check on the delay in the
Page 151 | 315. Review of Long Pending Files.— The Secretary, *Special
Page 153 | 316. General.— The Work of fair copying and examining papers
Page 153 | 317. General rules regarding copying.— The following general rules
Page 154 | 318. It is the duty of the Section Officer or in his/her absence the
Page 154 | 319. Deleted. [Vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 154 | 320. Endorsement.— An endorsement is usually written or copied on the
Page 155 | 321. Press Communique and Press Note.— A Press Communiqué or a
Page 156 | 322. Proceedings.— Proceedings are copied on the special embossed
Page 156 | 323.
Page 156 | 324. Spare copies of Government Orders roneographed / copied in
Page 156 | 325. Letters.— "Secret" letters are copied on letter heads in light green
Page 157 | 326. Demi-officials.— Demi officials are copied on embossed paper of
Page 157 | 327. Questions in the Legislative Assembly.— In typing answers to
Page 157 | 328. Marking of important and urgent communications.— In order
Page 157 | 329. Preparation of disposal dockets.— After fair copies are prepared,
Page 158 | 330. After a fair copy is made by the Typist, the Assistant of the section
Page 158 | 331. Special precautions for checking financial statements.— Typist
Page 158 | 332. Signing of papers.— The fair copies of the disposals for issue are
Page 159 | 333. Form of authentication of orders and proceedings.— All orders
Page 159 | 334. Copies of such orders and proceedings may be authenticated by a
Page 159 | 335. Signing of covering letters and authentication of copies of
Page 160 | 336. Signing of letters.— Letters will ordinarily issue in the name of the
Page 160 | 337. Deleted. [Vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 160 | 338. Signing of orders on appeals for mercy.— In cases dealing with
Page 160 | 339.
Page 161 | 340, 341 & 342 – Deleted (vide G.O.Ms.No.236, P & AR (A) Department,
Page 161 | 343. No paper to be retained for more than 24 hours.— As a rule, no
Page 161 | 344. Date of receipt to be entered on papers.— The date of receipt of
Page 161 | *345.
Page 161 | *346. The papers will be received by the despatcher in the O.P./ Tappal
Page 162 | 347. Despatchers are responsible for the issue of all signed papers and
Page 162 | 348. One envelope for all communications for same officer.— If
Page 162 | 349. Checking of postal receipts for registered articles.— The
Page 162 | 350. Despatch of copies of Government Orders within the
Page 162 | 351. Method of enclosing papers in envelopes.— When more than
Page 163 | 352. When papers may be sent packed—Used wax or cloth.—
Page 163 | 353. Use of special envelopes in certain cases.— Papers intended for
Page 163 | 354. Use of "Economy label".— The flap of an envelope containing non-
Page 163 | 355. Contents not to be noted on "Economy label".— A description of
Page 163 | 356. Mode of addressing non-confidential packets.— Packets
Page 163 | 357. Mode of addressing envelopes containing demi-official
Page 164 | 358. Communications sent to headquarters of addressees.— All
Page 164 | 359. Marking "Important", "Urgent", etc.— Important and urgent
Page 164 | 360. Special instructions relating to "Petitions for mercy".— In the
Page 164 | 361. Packets sent by post.— To be properly stamped and
Page 164 | 362. Local delivery—Procedure.—* Papers intended for local delivery
Page 164 | 363. Despatch of valuables—Procedure.— Valuables intended for
Page 164 | 364. Despatch of records to the Tribunal for disciplinary
Page 164 | 365. "Urgent" and "Special" despatch by special messengers.—
Page 165 | 366. Affixure of despatch stamp on office copy.— The fact of
Page 165 | 367. Signed copy of printed proceedings.— To whom sent.— In the
Page 165 | 368. Despatch of Government Orders placed at the disposal of the
Page 165 | 369. Despatch to High Commissioner for India, London, etc., of
Page 165 | 370.
Page 165 | 371. Stamps of highest denomination to be used in making up
Page 166 | 372.
Page 166 | 373. Service Stamps not to be used for Foreign Countries.— Service
Page 167 | 377. Central Record Branch.— Repository of current records.— The
Page 167 | 378. Control.— The branch is attached to the Public Department and it is
Page 167 | 379. Inspection.— The Under Secretary, Public Department who is in
Page 167 | 380. Functions of the Central Record Branch.— The main functions of
Page 168 | 381. Custody or records.— The record are distributed in block each of
Page 168 | 382. Duties of the Record establishment — Section Officer.— The
Page 168 | 383. Record Assistants.— Record Assistants are held responsible for the
Page 168 | 384. Record Clerks.— The Record Clerks assist the Section Officer and
Page 168 | 385. Office Assistant.— The duty of the record Office Assistant is to
Page 169 | 386. Working hours.— (i) Working days.— The working hours are from
Page 169 | 387. Lights in record rooms.— No lights other than electric lights shall
Page 169 | 388. Closing of the Central Record Branch.— When the Branch is
Page 169 | 389. Opening of the Central Record Branch after it is closed for the
Page 170 | 390. Particular of records maintained.— The under mentioned records
Page 171 | 391. Supply of records — Rules.— (a) Records shall be supplied only
Page 174 | 392. Access of research students to records.— Research students of
Page 174 | 393. Requisition for record—Noting of current No. or purpose.—
Page 174 | 394. Return of put away papers.— Records which are no longer
Page 174 | 395. Deposit of fresh disposals.— (a) After all the requisite action has
Page 175 | 396. Return of records to Central Record Branch – Department’s
